Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
22.4,6,64.0,684.3709106335765,0.0,0.0,0.0,0.3,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,4318,66,1242,431.8,559.3493839572305,431.8,0.0014611959457397,10,312871.73333333334
17.6,17,131.2,88.2775342171672,0.0,0.0,0.0,0.3,0.4,0.0,0.0,4,0,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,4063,66,1042,406.3,411.4192373830967,406.3,0.0113955020904541,10,169265.78888888887
17.6,17,97.6,78.80090030172883,0.0,0.0,0.0,0.3,0.4,0.0,0.0,4,0,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,3866,66,1514,386.6,481.3036001896886,386.6,0.013611102104187,10,231653.1555555556
12.8,17,80.8,51.64890158605064,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,3002,66,934,300.2,329.65227471112985,300.2,0.0207926988601684,10,108670.6222222222
15.2,17,98.6,72.41284414757061,0.0,0.0,0.0,0.2,0.4,0.0,0.0,4,0,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,2098,60,834,209.8,260.9056023417921,209.8,0.0139309883117675,10,68071.73333333334
10.4,17,76.8,51.87606057457787,0.0,0.0,0.0,0.2,0.2,0.0,0.0,2,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,3098,90,930,309.8,330.9839875280978,309.8,0.0207481145858764,10,109550.40000000002
16.4,17,69.9,57.08151422443358,0.0,0.0,0.0,0.1,0.4,0.0,0.0,4,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,2872,60,938,287.2,349.7849498064648,287.2,0.0176846981048584,10,122349.51111111107
32.0,6,64.0,16238.110723964382,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,804,66,110,80.4,17.777638888346353,80.4,7.288455963134765e-05,10,316.0444444444445
10.4,17,64.0,71.45565436641793,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,2960,66,934,296.0,342.5927287287017,296.0,0.0149307966232299,10,117369.77777777778
8.0,17,64.0,59.90254046056202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2968,62,834,296.8,304.403533342028,296.8,0.0194581031799316,10,92661.51111111112
8.0,17,83.1,42.60270021005245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3304,66,930,330.4,297.2792177958852,330.4,0.0235527038574218,10,88374.93333333333
8.0,17,64.0,40.98813931830153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3844,66,1046,384.4,399.72968644100257,384.4,0.0248775959014892,10,159783.82222222222
17.6,17,64.0,62.56690698135808,0.0,0.0,0.0,0.2,0.4,0.0,0.0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,2852,66,930,285.2,347.26928392179394,285.2,0.017478609085083,10,120595.95555555554
32.0,6,64.0,8888.120364484,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,809,66,111,80.9,18.254071083216235,80.9,0.0001420974731445,10,333.2111111111111
12.8,17,64.0,63.98242670165055,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,2558,66,930,255.8,278.4280477570063,255.8,0.0156656980514526,10,77522.17777777779
8.0,17,64.0,59.645961319681454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2936,62,938,293.6,355.42500380999275,293.6,0.0182713031768798,10,126326.93333333336
8.0,17,64.0,51.7359904183108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2296,66,1006,229.6,307.3583503917789,229.6,0.0217077016830444,10,94469.15555555554
8.0,17,64.0,44.874848475446335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3704,66,934,370.4,370.8702079044785,370.4,0.0223459959030151,10,137544.7111111111
10.4,17,64.0,49.88349468376109,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,3346,84,930,334.6,330.91932551605385,334.6,0.0219834089279174,10,109507.6
32.0,6,64.0,15551.738969225064,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,810,66,110,81.0,17.993826101687706,81.0,7.429122924804688e-05,10,323.77777777777777
20.0,6,64.0,83.25566808128849,0.0,0.0,0.0,0.2,0.5,0.0,0.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,2154,66,834,215.4,262.0971829938913,215.4,0.0120194911956787,10,68694.93333333333
13.6,17,101.5,83.32579733869461,0.1,0.0,0.0,0.2,0.3,0.0,0.0,3,0,1,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.2,0.0,0.0,0.8,0.8,2517,42,950,251.7,364.48199162952096,251.7,0.0127413988113403,10,132847.12222222218
15.2,17,133.8,61.370478754535874,0.0,0.0,0.2,0.1,0.2,0.0,0.0,2,0,0,2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,2127,60,970,212.7,289.1812388259115,212.7,0.0167351007461547,10,83625.78888888887
20.0,6,64.0,107.00683222524404,0.1,0.0,0.0,0.2,0.5,0.0,0.0,5,0,1,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,2011,66,834,201.1,265.5160384358479,201.1,0.0098153114318847,10,70498.76666666666
