Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
34.0,6,64.0,5424.744561421661,0.0,0.25,0.09,0.26,0.83,0.0,0.0,83,25,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7058,66,83,70.58,5.621351791126043,70.58,0.0001843404769897,100,31.59959595959597
33.0,6,64.0,7363.724784494109,0.03,0.17,0.21,0.27,0.91,0.0,0.0,91,17,3,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7058,60,83,70.58,6.650252520458045,70.58,0.0001358008384704,100,44.22585858585858
32.84,6,64.0,5489.711136997238,0.04,0.18,0.14,0.26,0.9,0.0,0.0,90,18,4,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6947,60,83,69.47,5.72157885958628,69.47,0.0001821589469909,100,32.73646464646463
32.76,6,64.0,4795.737431253501,0.03,0.14,0.17,0.33,0.87,0.0,0.0,87,14,3,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7071,60,83,70.71,6.692819912700353,70.71,0.0002088093757629,100,44.79383838383836
33.12,6,64.0,5691.8997408025625,0.03,0.2,0.11,0.27,0.87,0.0,0.0,87,20,3,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6946,60,83,69.46,5.296120173191773,69.46,0.0001757001876831,100,28.04888888888885
33.28,6,64.0,2221.771143435285,0.06,0.22,0.17,0.29,0.87,0.0,0.0,87,22,6,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7075,60,83,70.75,6.431260460524913,70.75,0.0004501414299011,100,41.36111111111112
34.08,6,64.0,5587.190622086053,0.04,0.29,0.12,0.21,0.77,0.0,0.0,77,29,4,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7071,60,83,70.71,5.971810885529215,70.71,0.0001789999008178,100,35.66252525252523
32.64,6,64.0,7652.303369761544,0.04,0.23,0.22,0.18,0.82,0.0,0.0,82,23,4,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6899,60,83,68.99,5.840463175212227,68.99,0.0001306796073913,100,34.11101010101009
33.28,6,64.0,6931.473616367272,0.08,0.22,0.15,0.23,0.83,0.0,0.0,83,22,8,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6959,60,83,69.59,5.525139972631622,69.59,0.0001442790031433,100,30.527171717171758
34.96,6,64.0,4209.120102761722,0.04,0.4,0.12,0.22,0.76,0.0,0.0,76,40,4,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7138,60,83,71.38,5.559194767648137,71.38,0.0002376008033752,100,30.90464646464642
32.32,6,64.0,6078.260995580031,0.05,0.19,0.18,0.09,0.82,0.0,0.0,82,19,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6792,60,83,67.92,5.206212295387738,67.92,0.0001644802093505,100,27.104646464646464
35.08,6,64.0,5056.912059029201,0.03,0.37,0.1,0.22,0.79,0.0,0.0,79,37,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7147,66,83,71.47,5.490956752753212,71.47,0.0001977491378784,100,30.15060606060609
33.92,6,64.0,6707.881269191403,0.03,0.3,0.12,0.21,0.83,0.0,0.0,83,30,3,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7039,60,83,70.39,5.813420558144626,70.39,0.0001490998268127,100,33.795858585858575
33.68,6,64.0,4023.506163365149,0.03,0.24,0.16,0.22,0.91,0.0,0.0,91,24,3,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6943,60,83,69.43,4.845606152990463,69.43,0.0002485609054565,100,23.479898989899034
33.4,6,64.0,2857.544624608257,0.02,0.22,0.15,0.28,0.83,0.0,0.0,83,22,2,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7129,60,84,71.29,6.812488532100439,71.29,0.0003499603271484,100,46.41
33.16,6,64.0,5799.164892293228,0.04,0.19,0.16,0.27,0.9,0.0,0.0,90,19,4,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7010,60,83,70.1,6.022684390927959,70.1,0.0001724386215209,100,36.27272727272729
32.2,6,64.0,6638.342592152952,0.05,0.16,0.23,0.22,0.82,0.0,0.0,82,16,5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6905,60,83,69.05,6.173215196199289,69.05,0.0001506519317626,100,38.10858585858583
32.52,6,64.0,7310.461184508663,0.07,0.14,0.08,0.33,0.89,0.0,0.0,89,14,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7172,60,111,71.72,9.228939989691844,71.72,0.0001373791694641,100,85.17333333333332
33.08,6,64.0,3799.704670018572,0.04,0.18,0.13,0.33,0.89,0.0,0.0,89,18,4,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7298,60,276,72.98,21.53549102614966,72.98,0.0002636790275573,100,463.77737373737256
33.52,6,64.0,3890.603491456876,0.04,0.19,0.08,0.29,0.86,0.0,0.0,86,19,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7036,66,83,70.36,5.76916218555453,70.36,0.0002570295333862,100,33.28323232323232
33.04,6,64.0,1101.271858425668,0.03,0.22,0.14,0.25,0.9,0.0,0.0,90,22,3,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6931,60,83,69.31,5.355437150290073,69.31,0.0009080815315246,100,28.68070707070706
33.44,6,64.0,3457.451859667634,0.01,0.21,0.15,0.26,0.79,0.0,0.0,79,21,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7118,60,83,71.18,6.773954874847095,71.18,0.000289249420166,100,45.88646464646472
34.16,6,64.0,8044.465755001055,0.02,0.27,0.11,0.24,0.85,0.0,0.0,85,27,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7028,66,83,70.28,5.226351258263028,70.28,0.0001243090629577,100,27.314747474747534
33.92,6,64.0,3047.2116474383192,0.03,0.3,0.13,0.19,0.89,0.0,0.0,89,30,3,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6982,60,83,69.82,5.30557168541628,69.82,0.0003284311294555,100,28.149090909090948
33.84,6,64.0,4437.336944447383,0.01,0.26,0.2,0.24,0.81,0.0,0.0,81,26,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7098,60,83,70.98,6.310132944540691,70.98,0.0002254104614257,100,39.81777777777777
34.24,6,64.0,5452.600652600652,0.02,0.31,0.15,0.19,0.79,0.0,0.0,79,31,2,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7003,60,83,70.03,5.170731538811952,70.03,0.0001833987236022,100,26.73646464646461
34.32,6,64.0,5331.380923327232,0.02,0.32,0.09,0.14,0.85,0.0,0.0,85,32,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6978,60,83,69.78,5.0783358444961975,69.78,0.0001876306533813,100,25.789494949494905
34.56,6,64.0,2862.4590521948026,0.01,0.32,0.11,0.24,0.88,0.0,0.0,88,32,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7105,66,83,71.05,5.560275772537428,71.05,0.0003493499755859,100,30.91666666666669
33.36,6,64.0,593.524906003733,0.02,0.2,0.23,0.31,0.87,0.0,0.0,87,20,2,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7118,60,83,71.18,6.604834470585801,71.18,0.0016857099533081,100,43.62383838383841
