Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
23.2,6,51.2,12.68742466064204,0.0,0.0,0.0,0.5,0.7,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.2,0.0,0.0,0.8,0.8,996,42,214,99.6,61.31920127043767,99.6,0.0788182020187377,10,3760.0444444444447
32.0,6,64.0,11172.892914224827,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,812,66,111,81.2,18.19523747211524,81.2,9.088516235351562e-05,10,331.0666666666666
27.2,6,100.6,11.32233629220632,0.0,0.0,0.0,0.4,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1200,60,246,120.0,72.70641114937679,120.0,0.0883224964141845,10,5286.222222222223
32.0,6,80.8,149.06667709181116,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,875,66,135,87.5,24.11661483523571,87.5,0.0117185115814208,10,581.6111111111111
29.6,6,69.9,12.16835088729106,0.0,0.0,0.0,0.4,0.9,0.0,0.0,9,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1609,66,931,160.9,270.7940792065686,160.9,0.0821887969970703,10,73329.43333333335
32.0,6,64.0,103.16289159826944,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1045,66,300,104.5,70.85705485145584,104.5,0.0179275035858154,10,5020.722222222223
32.0,6,64.0,12.8363450957637,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,734,66,85,73.4,9.559172442098625,73.4,0.0779121875762939,10,91.3777777777778
32.0,6,64.0,144.56736337065018,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,895,66,211,89.5,43.62020428909317,89.5,0.0219067096710205,10,1902.7222222222224
32.0,6,64.0,108660.72538860104,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,796,66,111,79.6,15.882904856060389,79.6,1.02996826171875e-05,10,252.26666666666665
24.4,6,70.3,13.325356913544908,0.0,0.0,0.1,0.2,0.8,0.0,0.0,8,0,0,1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,709,60,111,70.9,16.251153805191798,70.9,0.0750475883483886,10,264.0999999999999
20.0,6,255.0,552.9735003295979,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.1,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0018084049224853,10,0.0
20.0,6,255.0,4478.223361093316,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.1,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0002233028411865,10,0.0
21.2,6,235.9,388.3650774544209,0.0,0.0,0.9,0.1,1.0,0.0,0.0,10,0,0,9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,624,60,84,62.4,7.58946638440411,62.4,0.0025748968124389,10,57.6
20.0,6,255.0,30305.664739884392,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,3.299713134765625e-05,10,0.0
20.0,6,255.0,214.5369172143935,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0048990011215209,10,0.0
20.0,6,255.0,5047.904681670478,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0001981019973754,10,0.0
21.2,6,235.9,7230.3120151697985,0.0,0.0,0.9,0.1,1.0,0.0,0.0,10,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,815,60,275,81.5,67.98896969362015,81.5,0.0001383066177368,10,4622.5
20.0,6,255.0,372.6051151758508,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0026838064193725,10,0.0
20.0,6,255.0,1259.437287932018,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0007940053939819,10,0.0
20.0,6,255.0,6627.119608152947,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0001508951187133,10,0.0
20.0,6,255.0,1525.0905388699005,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0006556987762451,10,0.0
23.2,6,88.1,122.6845912418794,0.0,0.8,0.2,0.0,0.2,0.0,0.0,2,8,0,2,0.0,0.1,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0081509828567504,10,0.0
30.4,6,58.9,373.76392379119216,0.0,0.2,0.0,0.4,0.8,0.0,0.0,8,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,774,60,111,77.4,19.642357858012417,77.4,0.0026757001876831,10,385.8222222222222
27.2,6,53.7,212.91099402024383,0.0,0.6,0.0,0.2,0.4,0.0,0.0,4,6,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,661,60,85,66.1,10.004998750624608,66.1,0.0047255039215087,10,100.09999999999998
24.0,6,48.0,537.6968143067752,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0018599033355712,10,0.0
24.0,6,46.8,182361.0434782609,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,5.698204040527343e-06,10,0.0
24.0,6,45.0,5776.482578157279,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0001732110977172,10,0.0
24.0,6,48.1,732.6039265003843,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0013651847839355,10,0.0
24.0,6,44.7,188932.6126126126,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,5.507469177246094e-06,10,0.0
24.0,6,52.8,524288.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0034109115600585,10,0.0
24.0,6,47.1,81920.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,1.2302398681640624e-05,10,0.0
24.0,6,46.2,38304.14611872146,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,2.6297569274902343e-05,10,0.0
25.6,6,53.3,322.7579413937454,0.0,0.8,0.0,0.0,0.2,0.0,0.0,2,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,612,60,66,61.2,2.5298221281347035,61.2,0.0030990839004516,10,6.4
24.0,6,50.4,175493.8912133891,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,5.91278076171875e-06,10,0.0
24.0,6,47.0,81284.96124031008,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,1.2493133544921876e-05,10,0.0
24.0,6,46.7,2673.745139287308,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0003741979598999,10,0.0
24.0,6,47.0,84733.41414141415,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,1.1897087097167968e-05,10,0.0
24.0,6,47.7,459.7505206620629,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0021753072738647,10,0.0
24.4,6,75.9,12.130329409723226,0.0,0.5,0.0,0.4,0.4,0.0,0.0,4,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1158,60,255,115.8,80.24517984831792,115.8,0.0824384927749633,10,6439.288888888888
32.0,6,64.0,23763.762039660058,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,805,66,111,80.5,17.96447110889219,80.5,4.789829254150391e-05,10,322.72222222222223
21.2,6,215.2,106.811448420227,0.0,0.0,0.8,0.0,1.0,0.0,0.0,10,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,606,60,66,60.6,1.897366596101028,60.6,0.0093656063079833,10,3.6000000000000005
20.0,6,255.0,6305.32772098617,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0001585960388183,10,0.0
20.0,6,255.0,2400.860904407556,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.000551414489746,10,0.0
20.0,6,255.0,7440.667021465319,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0001343965530395,10,0.0
24.0,6,134.2,116.27653735050647,0.0,0.4,0.4,0.0,0.6,0.0,0.0,6,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,612,60,66,61.2,2.5298221281347035,61.2,0.0086001873016357,10,6.4
24.0,6,49.5,18283.801220575413,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,5.509853363037109e-05,10,0.0
24.0,6,46.4,125203.10447761194,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,2.100467681884765e-05,10,0.0
24.0,6,48.0,5646.61281637049,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0001773118972778,10,0.0
24.0,6,42.9,285326.80272108846,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,3.886222839355469e-06,10,0.0
24.0,6,52.9,4921.7366815301575,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0002033948898315,10,0.0
24.0,6,51.6,23262.91735995563,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,4.320144653320312e-05,10,0.0
24.0,6,46.5,5120.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0001993179321289,10,0.0
24.0,6,49.8,103.82480277440165,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0096318960189819,10,0.0
24.0,6,45.7,476625.4545454545,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,2.5987625122070318e-06,10,0.0
