Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
28.4,6,80.8,12.022410395965531,0.0,0.0,0.0,0.5,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1653,66,928,165.3,268.54714049244063,165.3,0.0831779956817626,10,72117.56666666665
29.6,6,70.4,10.009959115836711,0.0,0.0,0.0,0.5,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.1,0.0,0.0,0.0,1.0,1.0,1088,66,342,108.8,83.79843541366257,108.8,0.099901008605957,10,7022.177777777778
32.0,6,64.0,19266.44005512173,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,805,66,111,80.5,17.96447110889219,80.5,5.838871002197266e-05,10,322.72222222222223
29.6,6,80.8,10.00263999044166,0.0,0.0,0.0,0.3,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,893,66,214,89.3,46.31786312476477,89.3,0.0999747037887573,10,2145.344444444444
32.0,6,64.0,20242.77992277992,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,783,66,111,78.3,15.063200191194436,78.3,7.510185241699219e-05,10,226.90000000000003
18.8,6,111.6,10.180386579077352,0.1,0.0,0.0,0.3,0.5,0.0,0.0,5,0,1,0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1337,66,257,133.7,78.80503368017384,133.7,0.0998172044754028,10,6210.233333333334
32.0,6,64.0,13443.28205128205,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,778,66,111,77.8,14.785879149452771,77.8,7.479190826416015e-05,10,218.62222222222223
32.0,6,64.0,16288.55922330097,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,799,66,111,79.9,16.02394042258853,79.9,6.210803985595703e-05,10,256.76666666666665
27.2,6,106.3,13.907064833923087,0.0,0.0,0.0,0.5,0.9,0.0,0.0,9,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1849,60,930,184.9,266.6047636483639,184.9,0.100060486793518,10,71078.1
29.6,6,80.6,47.02456109666692,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,774,60,111,77.4,19.48902825238401,77.4,0.0212661981582641,10,379.8222222222222
