Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
20.0,6,167.5,3.506620042200125,0.0,0.0,0.0,0.3,0.8,0.0,0.0,8,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1315,60,246,131.5,79.28044455531824,131.5,0.2851748943328857,10,6285.388888888889
18.8,6,146.6,36.14165398554783,0.0,0.0,0.0,0.6,0.9,0.0,0.0,9,0,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,2611,60,930,261.1,347.5928173404431,261.1,0.0276689052581787,10,120820.76666666666
15.2,6,128.3,9.886578940048867,0.0,0.0,0.0,0.3,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1907,60,499,190.7,149.6655901965742,190.7,0.107200813293457,10,22399.78888888889
15.2,6,121.3,3.385948701670781,0.0,0.0,0.0,0.2,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.1,0.0,0.0,0.0,1.0,1.0,2398,60,935,239.8,263.6903908416502,239.8,0.3046672821044922,10,69532.62222222223
25.6,6,102.2,34.35681479545907,0.1,0.1,0.0,0.4,0.7,0.0,0.0,7,1,1,0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1668,66,588,166.8,173.60478744038778,166.8,0.1653540134429931,10,30138.622222222228
29.6,6,79.9,119.11135849238782,0.1,0.0,0.0,0.5,1.0,0.0,0.0,10,0,1,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2293,60,1434,229.3,425.5686522498782,229.3,0.0087864875793457,10,181108.67777777775
20.4,6,60.6,99.61557918437046,0.0,0.1,0.0,0.1,0.6,0.0,0.0,6,1,0,0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.2,0.0,0.0,0.8,0.8,891,60,208,89.1,47.8247959860898,89.1,0.0131417036056518,10,2287.211111111112
24.8,6,176.6,170.56117635576953,0.0,0.0,0.6,0.2,1.0,0.0,0.0,10,0,0,6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4467,60,1474,446.7,629.8631332810857,446.7,0.0101402997970581,10,396727.56666666665
20.0,6,255.0,990.3905548996458,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.1,0.0,0.0,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0010097026824951,10,0.0
24.8,6,176.6,2420.814960175459,0.0,0.0,0.6,0.3,1.0,0.0,0.0,10,0,0,6,0.0,0.4,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,853,60,145,85.3,39.460388014086,85.3,0.0008173942565917,10,1557.122222222222
20.0,6,234.3,891.6652139713855,0.0,0.0,0.9,0.0,1.0,0.0,0.0,10,0,0,9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0014037132263183,10,0.0
20.0,6,255.0,1941.8074074074077,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0005149841308593,10,0.0
20.0,6,255.0,6944.211920529801,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0001440048217773,10,0.0
20.0,6,255.0,651.2085455222954,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0015356063842773,10,0.0
20.0,6,255.0,675.5418116222137,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0014802932739257,10,0.0
20.0,6,255.0,181571.60173160167,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,5.507469177246094e-06,10,0.0
20.0,6,255.0,1927.5294117647056,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.000518798828125,10,0.0
20.0,6,255.0,858.0818330605565,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0011653900146484,10,0.0
20.0,6,255.0,14023.082581076564,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0008803129196166,10,0.0
20.0,6,255.0,772.5028087300857,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0012944936752319,10,0.0
20.0,6,255.0,4610.64526767066,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0002168893814086,10,0.0
21.2,6,235.4,3494.08863712096,0.0,0.0,0.9,0.0,1.0,0.0,0.0,10,0,0,9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,606,60,66,60.6,1.8973665961010275,60.6,0.0004655122756958,10,3.6
20.0,6,255.0,4928.676850763807,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0002028942108154,10,0.0
20.0,6,255.0,3793.347200868229,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0027402162551879,10,0.0
20.0,6,255.0,4508.549930130065,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0002218008041381,10,0.0
20.0,6,255.0,30305.664739884392,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,3.299713134765625e-05,10,0.0
23.2,6,90.0,394.3052683036889,0.0,0.8,0.2,0.0,0.2,0.0,0.0,2,8,0,2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0026695013046264,10,0.0
24.0,6,50.0,237.82356743516175,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0042079925537109,10,0.0
24.0,6,48.3,2285.226108750136,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.000586199760437,10,0.0
